#blinkered/attestations/2 language=cy words=47635 sources=10 built=2026-09-23 digest=e8f28f922918c6bf
#tokens gut=207151 ia=15244621 tat=7721 web:barn.cymru=254314 web:bro360.cymru=1193 web:golwg360.cymru=2940 web:gwales.com=14872 web:ycymro.cymru=210957 wiki:cy=41913937 wikisource:cy=555599
CATEGORI	web:barn.cymru,web:ycymro.cymru,wiki:cy,wikisource:cy	3,4,1494502,24065	web:barn.cymru:https://barn.cymru/cy/cymru-ac-ewrop-rhwng-y-cwn-ar-brain/ web:barn.cymru:https://barn.cymru/cy/archgarchar-wrecsam-carchar-ar-gyfer-lloegr/ web:ycymro.cymru:https://ycymro.cymru/diwylliant-a-hamdden/2019/03/y-cymro-ar-restr-fer-gwobrau-bafta-2019/ web:ycymro.cymru:https://ycymro.cymru/newyddion/2024/11/datgelu-dyluniadau-cardiau-nadolig-buddugol-undeb-amaethwyr-cymru/ wiki:cy:1 wiki:cy:3 wikisource:cy:1351 wikisource:cy:1352
MAE	gut,ia,tat,web:barn.cymru,web:bro360.cymru,web:golwg360.cymru,web:gwales.com,web:ycymro.cymru,wiki:cy,wikisource:cy	1445,126108,317,3357,22,44,52,2487,264980,1136	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1392513 tat:1415425 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:bro360.cymru:https://bro360.cymru/gwybodaeth/ web:bro360.cymru:https://bro360.cymru/?s web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/gwybodaeth/ web:gwales.com:https://gwales.com/pages/cwestiynau-cyffredinol web:gwales.com:https://gwales.com/ web:ycymro.cymru:https://ycymro.cymru/ web:ycymro.cymru:https://ycymro.cymru/blog/ wiki:cy:3 wiki:cy:6 wikisource:cy:1357 wikisource:cy:1358
GAN	gut,ia,tat,web:barn.cymru,web:bro360.cymru,web:golwg360.cymru,web:gwales.com,web:ycymro.cymru,wiki:cy,wikisource:cy	935,86127,24,4215,10,11,52,2771,945452,1708	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1415457 tat:1963958 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:bro360.cymru:https://bro360.cymru/gwybodaeth/ web:bro360.cymru:https://bro360.cymru/?s web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/?s web:gwales.com:https://gwales.com/pages/cwestiynau-cyffredinol web:gwales.com:https://gwales.com/ web:ycymro.cymru:https://ycymro.cymru/ web:ycymro.cymru:https://ycymro.cymru/ynghylch/ wiki:cy:3 wiki:cy:6 wikisource:cy:1352 wikisource:cy:1356
OEDD	gut,ia,tat,web:barn.cymru,web:bro360.cymru,web:golwg360.cymru,web:ycymro.cymru,wiki:cy,wikisource:cy	2675,124296,15,1487,2,4,593,304262,2343	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1977138 tat:1979562 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:bro360.cymru:https://bro360.cymru/?s web:bro360.cymru:https://bro360.cymru/ web:golwg360.cymru:https://golwg360.cymru/ web:ycymro.cymru:https://ycymro.cymru/tudalen-dod-yn-fuan/2018/04/ie-bois/ web:ycymro.cymru:https://ycymro.cymru/chwaraeon/2018/06/colofn-i-ryfeddu-ati-garmon-ceiro-syn-gweld-hi-braidd-yn-anodd-aros-am-var/ wiki:cy:3 wiki:cy:6 wikisource:cy:1361 wikisource:cy:1366
FFILMIAU	tat,web:barn.cymru,web:ycymro.cymru,wiki:cy	4,12,28,1299548	tat:8679450 tat:8679451 web:barn.cymru:https://barn.cymru/cy/barn-yn-50-darllen-hanfodol/ web:barn.cymru:https://barn.cymru/cy/emynau-mawl-i-america/ web:ycymro.cymru:https://ycymro.cymru/diwylliant-a-hamdden/2018/12/plygeinio-yng-nghwmni-cass-meurig-guru-y-crwth/ web:ycymro.cymru:https://ycymro.cymru/barn/2019/08/oes-posib-fod-y-gymraeg-iaith-frodorol-prydain-yn-dechrau-ailafael-yng-ngwledydd-yr-ynys-a-thu-hwnt/ wiki:cy:10 wiki:cy:71
WEDI	gut,ia,tat,web:barn.cymru,web:bro360.cymru,web:golwg360.cymru,web:ycymro.cymru,wiki:cy,wikisource:cy	1566,82493,78,3130,6,31,1599,244462,1026	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1415457 tat:1547510 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:bro360.cymru:https://bro360.cymru/gwybodaeth/ web:bro360.cymru:https://bro360.cymru/?s web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/gwybodaeth/ web:ycymro.cymru:https://ycymro.cymru/blog/ web:ycymro.cymru:https://ycymro.cymru/tudalen-dod-yn-fuan/2018/04/ie-bois/ wiki:cy:3 wiki:cy:6 wikisource:cy:1360 wikisource:cy:1366
FFILM	tat,web:barn.cymru,web:golwg360.cymru,web:ycymro.cymru,wiki:cy,wikisource:cy	7,47,7,64,1127663,1	tat:7032800 tat:7352043 web:barn.cymru:https://barn.cymru/cy/coalas-cangarwod-a-choed/ web:barn.cymru:https://barn.cymru/cy/brenhines-ein-llen/ web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/?s web:ycymro.cymru:https://ycymro.cymru/tudalen-dod-yn-fuan/2018/04/ie-bois/ web:ycymro.cymru:https://ycymro.cymru/diwylliant-a-hamdden/2018/06/cerddoriaeth-gyda-son-am-sin/ wiki:cy:3 wiki:cy:10 wikisource:cy:3944
FEL	gut,ia,tat,web:barn.cymru,web:golwg360.cymru,web:gwales.com,web:ycymro.cymru,wiki:cy,wikisource:cy	1231,73051,26,812,7,52,962,233199,1642	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1415422 tat:1415429 web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:barn.cymru:https://barn.cymru/cy/cwrs-y-byd-milwr-gweinidog-a-dr-kate/ web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/cysylltu/?o=https%3A%2F%2Fgolwg.360.cymru%2F web:gwales.com:https://gwales.com/pages/cwestiynau-cyffredinol web:gwales.com:https://gwales.com/ web:ycymro.cymru:https://ycymro.cymru/ web:ycymro.cymru:https://ycymro.cymru/ynghylch/ wiki:cy:3 wiki:cy:6 wikisource:cy:1372 wikisource:cy:1373
TOM	gut,ia,tat,web:barn.cymru,web:ycymro.cymru,wiki:cy,wikisource:cy	4,616,172,10,21,7912,28	gut:14354 gut:22528 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1524740 tat:1524759 web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:barn.cymru:https://barn.cymru/cy/cwrs-y-byd-milwr-gweinidog-a-dr-kate/ web:ycymro.cymru:https://ycymro.cymru/barn/2021/02/beth-allwn-ni-wneud-i-gryfhau-economi-ein-cymunedau-lleol-yn-y-byd-busnes-gyda-gari-wyn-jones/ web:ycymro.cymru:https://ycymro.cymru/barn/2021/02/creu-gwyrthiau-ir-safonau-uchaf-ond-beth-am-fwy-o-amrywiaeth-o-actorion-ar-y-cyfryngau-gyda-dylan-wyn-williams/ wiki:cy:23 wiki:cy:38 wikisource:cy:3272 wikisource:cy:15631
OND	gut,ia,tat,web:barn.cymru,web:golwg360.cymru,web:gwales.com,web:ycymro.cymru,wiki:cy,wikisource:cy	1721,92682,28,2460,4,52,1006,76335,1069	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1415422 tat:1545762 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/?s web:gwales.com:https://gwales.com/pages/cwestiynau-cyffredinol web:gwales.com:https://gwales.com/ web:ycymro.cymru:https://ycymro.cymru/blog/ web:ycymro.cymru:https://ycymro.cymru/tudalen-dod-yn-fuan/2018/04/ie-bois/ wiki:cy:3 wiki:cy:6 wikisource:cy:1351 wikisource:cy:1352
DDIM	gut,ia,tat,web:barn.cymru,web:golwg360.cymru,web:gwales.com,web:ycymro.cymru,wiki:cy,wikisource:cy	550,12608,122,2763,8,78,402,3475,126	gut:14354 gut:14547 ia:aelwydfewythrro00stowgoog/aelwydfewythrro00stowgoog_djvu.txt ia:anenglishandwel00evangoog/anenglishandwel00evangoog_djvu.txt tat:1392516 tat:1547532 web:barn.cymru:https://barn.cymru/cy/caffis-cymru-y-caban-aberystwyth/ web:barn.cymru:https://barn.cymru/cy/bill-shankly-a-tom-parry/ web:golwg360.cymru:https://golwg360.cymru/ web:golwg360.cymru:https://golwg360.cymru/?s web:gwales.com:https://gwales.com/pages/cwestiynau-cyffredinol web:gwales.com:https://gwales.com/ web:ycymro.cymru:https://ycymro.cymru/tudalen-dod-yn-fuan/2018/04/ie-bois/ web:ycymro.cymru:https://ycymro.cymru/barn/2018/06/nid-barn-y-cymro/ wiki:cy:15 wiki:cy:23 wikisource:cy:1359 wikisource:cy:1371
